operator,scale,world_size,seq_len,m,k,n,flops,dtype,avg_ms,min_ms,max_ms,std_ms,inner_loops,warmup,repeats
mlp_up_gemm,single_card,1,16,16,4096,14336,1879048192,fp16,0.164125,0.163705,0.164648,0.000358,64,2,5
mlp_up_gemm,single_node_dual_card,2,16,16,4096,14336,1879048192,fp16,0.163772,0.163637,0.164474,0.000415,64,2,5
mlp_up_gemm,single_card,1,32,32,4096,14336,3758096384,fp16,0.165762,0.165721,0.165785,0.000023,64,2,5
mlp_up_gemm,single_node_dual_card,2,32,32,4096,14336,3758096384,fp16,0.165659,0.165606,0.165707,0.000061,64,2,5
mlp_up_gemm,single_card,1,64,64,4096,14336,7516192768,fp16,0.169780,0.169653,0.169987,0.000134,36,2,5
mlp_up_gemm,single_node_dual_card,2,64,64,4096,14336,7516192768,fp16,0.170305,0.170242,0.170367,0.000198,36,2,5
mlp_up_gemm,single_card,1,128,128,4096,14336,15032385536,fp16,0.174605,0.174095,0.175661,0.000588,18,2,5
mlp_up_gemm,single_node_dual_card,2,128,128,4096,14336,15032385536,fp16,0.176243,0.175980,0.176557,0.000567,18,2,5
mlp_up_gemm,single_card,1,256,256,4096,14336,30064771072,fp16,0.160735,0.160172,0.161425,0.000459,9,2,5
mlp_up_gemm,single_node_dual_card,2,256,256,4096,14336,30064771072,fp16,0.160830,0.159542,0.162358,0.001104,9,2,5
mlp_up_gemm,single_card,1,512,512,4096,14336,60129542144,fp16,0.255748,0.254506,0.257549,0.001006,4,2,5
mlp_up_gemm,single_node_dual_card,2,512,512,4096,14336,60129542144,fp16,0.255970,0.254808,0.257387,0.000881,4,2,5
mlp_up_gemm,single_card,1,1024,1024,4096,14336,120259084288,fp16,0.479452,0.477319,0.480557,0.001335,2,2,5
mlp_up_gemm,single_node_dual_card,2,1024,1024,4096,14336,120259084288,fp16,0.482544,0.480767,0.484493,0.001542,2,2,5
mlp_up_gemm,single_card,1,2048,2048,4096,14336,240518168576,fp16,0.943810,0.941018,0.948768,0.002798,1,2,5
mlp_up_gemm,single_node_dual_card,2,2048,2048,4096,14336,240518168576,fp16,0.946704,0.940576,0.950200,0.003433,1,2,5
mlp_gate_gemm,single_card,1,16,16,4096,14336,1879048192,fp16,0.163817,0.163723,0.163867,0.000053,64,2,5
mlp_gate_gemm,single_node_dual_card,2,16,16,4096,14336,1879048192,fp16,0.164020,0.163695,0.164714,0.000384,64,2,5
mlp_gate_gemm,single_card,1,32,32,4096,14336,3758096384,fp16,0.165890,0.165792,0.165995,0.000084,64,2,5
mlp_gate_gemm,single_node_dual_card,2,32,32,4096,14336,3758096384,fp16,0.165659,0.165506,0.165747,0.000084,64,2,5
mlp_gate_gemm,single_card,1,64,64,4096,14336,7516192768,fp16,0.170107,0.169626,0.171626,0.000762,36,2,5
mlp_gate_gemm,single_node_dual_card,2,64,64,4096,14336,7516192768,fp16,0.170541,0.170383,0.170697,0.000366,36,2,5
mlp_gate_gemm,single_card,1,128,128,4096,14336,15032385536,fp16,0.174937,0.174588,0.175658,0.000392,18,2,5
mlp_gate_gemm,single_node_dual_card,2,128,128,4096,14336,15032385536,fp16,0.176255,0.176042,0.176493,0.000965,18,2,5
mlp_gate_gemm,single_card,1,256,256,4096,14336,30064771072,fp16,0.160275,0.160033,0.160411,0.000132,9,2,5
mlp_gate_gemm,single_node_dual_card,2,256,256,4096,14336,30064771072,fp16,0.160365,0.159742,0.161047,0.000536,9,2,5
mlp_gate_gemm,single_card,1,512,512,4096,14336,60129542144,fp16,0.306965,0.254460,0.448759,0.073849,4,2,5
mlp_gate_gemm,single_node_dual_card,2,512,512,4096,14336,60129542144,fp16,0.256141,0.255889,0.256433,0.000728,4,2,5
mlp_gate_gemm,single_card,1,1024,1024,4096,14336,120259084288,fp16,0.481080,0.479614,0.483694,0.001489,2,2,5
mlp_gate_gemm,single_node_dual_card,2,1024,1024,4096,14336,120259084288,fp16,0.483156,0.481819,0.484044,0.001718,2,2,5
mlp_gate_gemm,single_card,1,2048,2048,4096,14336,240518168576,fp16,0.947210,0.941137,0.960195,0.006971,1,2,5
mlp_gate_gemm,single_node_dual_card,2,2048,2048,4096,14336,240518168576,fp16,0.948609,0.945231,0.954125,0.003167,1,2,5
mlp_down_gemm,single_card,1,16,16,14336,4096,1879048192,fp16,0.191373,0.191010,0.191761,0.000258,64,2,5
mlp_down_gemm,single_node_dual_card,2,16,16,14336,4096,1879048192,fp16,0.191525,0.190963,0.191954,0.000369,64,2,5
mlp_down_gemm,single_card,1,32,32,14336,4096,3758096384,fp16,0.192462,0.191789,0.194010,0.000834,64,2,5
mlp_down_gemm,single_node_dual_card,2,32,32,14336,4096,3758096384,fp16,0.191511,0.191376,0.191671,0.000239,64,2,5
mlp_down_gemm,single_card,1,64,64,14336,4096,7516192768,fp16,0.197941,0.197512,0.198275,0.000296,36,2,5
mlp_down_gemm,single_node_dual_card,2,64,64,14336,4096,7516192768,fp16,0.199273,0.199030,0.199574,0.000224,36,2,5
mlp_down_gemm,single_card,1,128,128,14336,4096,15032385536,fp16,0.212466,0.211902,0.213567,0.000578,18,2,5
mlp_down_gemm,single_node_dual_card,2,128,128,14336,4096,15032385536,fp16,0.213270,0.212824,0.213944,0.000458,18,2,5
mlp_down_gemm,single_card,1,256,256,14336,4096,30064771072,fp16,0.235843,0.235112,0.236748,0.000538,9,2,5
mlp_down_gemm,single_node_dual_card,2,256,256,14336,4096,30064771072,fp16,0.235656,0.235277,0.236081,0.000407,9,2,5
mlp_down_gemm,single_card,1,512,512,14336,4096,60129542144,fp16,0.274727,0.274413,0.275180,0.000253,4,2,5
mlp_down_gemm,single_node_dual_card,2,512,512,14336,4096,60129542144,fp16,0.274915,0.274416,0.275515,0.000429,4,2,5
mlp_down_gemm,single_card,1,1024,1024,14336,4096,120259084288,fp16,0.457236,0.454000,0.460268,0.002122,2,2,5
mlp_down_gemm,single_node_dual_card,2,1024,1024,14336,4096,120259084288,fp16,0.457308,0.456052,0.459273,0.001313,2,2,5
mlp_down_gemm,single_card,1,2048,2048,14336,4096,240518168576,fp16,0.896417,0.888655,0.903096,0.004735,1,2,5
mlp_down_gemm,single_node_dual_card,2,2048,2048,14336,4096,240518168576,fp16,0.897818,0.892801,0.904135,0.003792,1,2,5
flash_attention,single_card,1,16,16,128,32,4194304,fp16,0.120997,0.120717,0.121133,0.000148,64,2,5
flash_attention,single_node_dual_card,2,16,16,128,32,4194304,fp16,0.123889,0.123029,0.124984,0.000761,64,2,5
flash_attention,single_card,1,32,32,128,32,16777216,fp16,0.121923,0.121634,0.122234,0.000223,64,2,5
flash_attention,single_node_dual_card,2,32,32,128,32,16777216,fp16,0.122984,0.122711,0.123307,0.000298,64,2,5
flash_attention,single_card,1,64,64,128,32,67108864,fp16,0.056760,0.056134,0.057210,0.000423,64,2,5
flash_attention,single_node_dual_card,2,64,64,128,32,67108864,fp16,0.057903,0.057526,0.058753,0.000773,64,2,5
flash_attention,single_card,1,128,128,128,32,268435456,fp16,0.056799,0.056199,0.057338,0.000419,64,2,5
flash_attention,single_node_dual_card,2,128,128,128,32,268435456,fp16,0.057167,0.056612,0.058077,0.000487,64,2,5
flash_attention,single_card,1,256,256,128,32,1073741824,fp16,0.057109,0.056878,0.057416,0.000176,64,2,5
flash_attention,single_node_dual_card,2,256,256,128,32,1073741824,fp16,0.058306,0.057786,0.059455,0.000592,64,2,5
flash_attention,single_card,1,512,512,128,32,4294967296,fp16,0.089808,0.089700,0.089887,0.000081,64,2,5
flash_attention,single_node_dual_card,2,512,512,128,32,4294967296,fp16,0.089987,0.089760,0.090416,0.000226,64,2,5
flash_attention,single_card,1,1024,1024,128,32,17179869184,fp16,0.244765,0.244497,0.244967,0.000187,16,2,5
flash_attention,single_node_dual_card,2,1024,1024,128,32,17179869184,fp16,0.245096,0.244900,0.245367,0.000179,16,2,5
flash_attention,single_card,1,2048,2048,128,32,68719476736,fp16,0.920638,0.919495,0.922394,0.001019,4,2,5
flash_attention,single_node_dual_card,2,2048,2048,128,32,68719476736,fp16,0.933655,0.921698,0.977151,0.022335,4,2,5
attention_output_proj_gemm,single_card,1,16,16,4096,4096,536870912,fp16,0.031129,0.031116,0.031136,0.000007,64,2,5
attention_output_proj_gemm,single_node_dual_card,2,16,16,4096,4096,536870912,fp16,0.031294,0.031081,0.031852,0.000282,64,2,5
attention_output_proj_gemm,single_card,1,32,32,4096,4096,1073741824,fp16,0.032811,0.032770,0.032857,0.000029,64,2,5
attention_output_proj_gemm,single_node_dual_card,2,32,32,4096,4096,1073741824,fp16,0.032901,0.032851,0.032975,0.000058,64,2,5
attention_output_proj_gemm,single_card,1,64,64,4096,4096,2147483648,fp16,0.035547,0.035448,0.035606,0.000054,64,2,5
attention_output_proj_gemm,single_node_dual_card,2,64,64,4096,4096,2147483648,fp16,0.035886,0.035858,0.035934,0.000108,64,2,5
attention_output_proj_gemm,single_card,1,128,128,4096,4096,4294967296,fp16,0.041055,0.040984,0.041144,0.000070,64,2,5
attention_output_proj_gemm,single_node_dual_card,2,128,128,4096,4096,4294967296,fp16,0.041201,0.041170,0.041259,0.000083,64,2,5
attention_output_proj_gemm,single_card,1,256,256,4096,4096,8589934592,fp16,0.056809,0.056702,0.056880,0.000066,32,2,5
attention_output_proj_gemm,single_node_dual_card,2,256,256,4096,4096,8589934592,fp16,0.056769,0.056568,0.056883,0.000134,32,2,5
attention_output_proj_gemm,single_card,1,512,512,4096,4096,17179869184,fp16,0.089038,0.088587,0.090095,0.000542,16,2,5
attention_output_proj_gemm,single_node_dual_card,2,512,512,4096,4096,17179869184,fp16,0.091456,0.089010,0.097527,0.003236,16,2,5
attention_output_proj_gemm,single_card,1,1024,1024,4096,4096,34359738368,fp16,0.144391,0.143484,0.146139,0.000989,8,2,5
attention_output_proj_gemm,single_node_dual_card,2,1024,1024,4096,4096,34359738368,fp16,0.149152,0.145387,0.161115,0.006353,8,2,5
attention_output_proj_gemm,single_card,1,2048,2048,4096,4096,68719476736,fp16,0.269472,0.269122,0.269686,0.000248,4,2,5
attention_output_proj_gemm,single_node_dual_card,2,2048,2048,4096,4096,68719476736,fp16,0.274516,0.273306,0.276551,0.001182,4,2,5
